# Tissue contaminant concentrations, North Sea Mytilus edulis. Transcribed from Widdows
# et al. 1995, Mar. Ecol. Prog. Ser. 127:131-148 (companion contaminant table; same
# sites as the SFG table in sfg_widdows1995_northsea.csv). This is the PRESSURE side of
# the margin validation. Units as published: metals (Cd,Cu,Hg,Pb,Zn) ug/g dry wt;
# organotins (TBT,DBT) and organochlorines (Dieldrin,ppDDE,ppTDE,gHCH,HCB,PCB) ug/g;
# THC_UVF / PAH_2_3ring / total_toxic_HC ug/g; Polar = polar metabolites.
# "<X" = below detection limit (parser uses X); "nd" = not determined (missing).
site,Cd,Cu,Hg,Pb,Zn,TBT,DBT,Dieldrin,ppDDE,ppTDE,gHCH,HCB,PCB,THC_UVF,PAH_2_3ring,total_toxic_HC,Polar
Gluss Voe,1.17,7.02,0.12,3.63,173,0.012,0.018,<0.006,0.006,<0.006,0.006,<0.006,<0.006,28,0.23,1.6,49.5
Voxter Voe,0.85,6.73,0.12,<3.00,208,0.041,0.117,<0.006,0.006,<0.006,<0.006,0.006,<0.006,36,0.46,3.3,12.5
Orkney,1.00,5.27,0.21,9.36,94,0.035,0.059,<0.006,0.018,<0.006,<0.006,0.006,0.006,45,1.73,12.4,2.5
Ythan,0.49,7.61,0.15,3.80,72,<0.018,0.059,<0.006,0.006,<0.006,0.820,<0.006,0.006,70,2.96,21.1,20
Montrose,0.50,7.02,0.18,4.36,87,0.041,0.293,<0.006,0.006,0.006,<0.006,0.006,0.064,193,22.70,162.1,125
Lucky Beacon,0.82,5.27,0.18,nd,58,nd,nd,<0.006,0.018,0.012,<0.006,<0.006,0.141,117,3.55,25.4,2.5
Musselburgh,5.18,8.48,0.21,18.72,130,nd,nd,<0.006,0.006,0.006,<0.006,<0.006,0.176,199,7.84,56.0,21.5
Berwick upon Tweed,0.93,7.42,0.29,<3.00,100,0.053,0.105,0.012,0.012,<0.006,<0.006,0.006,0.006,44,2.17,15.5,14
Holy Island,0.89,8.88,0.23,<3.00,92,0.064,0.108,0.006,nd,<0.006,0.006,<0.006,0.006,46,1.21,8.6,13
Coquet Estuary,0.62,7.06,0.18,4.70,118,0.257,1.316,0.006,0.006,<0.006,<0.006,0.006,0.006,258,18.60,132.8,11.5
Cresswell,1.50,5.63,0.38,3.00,125,0.029,0.023,<0.006,<0.006,<0.006,<0.006,0.006,0.029,158,1.13,8.1,100
Blyth,0.88,7.81,0.25,11.88,150,0.462,0.140,<0.006,0.006,<0.006,<0.006,0.006,0.188,170,52.18,372.6,16
Trow Rocks,0.66,8.75,0.34,28.80,303,0.509,0.158,0.006,<0.006,<0.006,<0.006,0.006,0.023,158,4.45,31.8,2.5
Teesmouth,1.30,9.71,0.06,11.51,173,0.088,0.421,0.006,0.018,<0.006,<0.006,0.006,0.035,334,10.88,77.7,3
Whitby Harbour,1.13,10.31,0.25,13.75,169,0.615,0.120,<0.006,<0.006,<0.006,<0.006,0.006,<0.006,434,54.76,390.0,37
Filey Brigg,0.75,7.50,0.30,10.00,95,0.029,0.047,0.006,<0.006,<0.006,<0.006,0.006,<0.006,129,3.30,23.6,37
Humber Bull Fort,3.28,10.00,0.17,<3.00,184,0.123,0.360,0.023,0.012,0.023,<0.006,0.006,0.123,123,6.55,46.8,43
Cleethorpes,2.53,7.96,0.16,<3.00,116,0.099,0.263,0.053,0.012,0.064,<0.006,0.070,0.053,193,17.49,124.9,43
Gat Sand-Wash,1.06,6.87,0.11,4.01,98,0.029,0.047,0.006,<0.006,0.006,<0.006,0.006,0.006,49,1.25,8.9,75.5
Hunstanton,<0.32,7.03,0.11,<3.00,73,0.041,0.035,0.018,0.012,0.018,<0.006,0.006,0.006,47,1.18,8.4,20.5
Walberswick,0.86,9.28,0.36,7.50,128,0.053,0.187,0.012,0.012,0.012,<0.006,0.006,0.006,82,2.46,17.6,46
Harwich,1.14,6.39,0.25,<3.00,111,0.176,0.111,0.012,0.012,0.012,<0.006,0.006,0.053,82,2.36,16.9,20
Creeksea,0.95,7.51,0.22,<3.00,102,0.427,0.234,0.023,0.023,0.018,0.006,0.217,<0.006,123,10.74,76.7,22
Southend,1.50,8.42,0.11,3.42,118,0.357,0.205,0.018,0.009,<0.006,0.006,<0.006,0.217,105,2.83,20.2,7.5
Swale,1.25,8.06,0.11,3.34,125,0.486,0.234,0.035,0.020,0.023,<0.006,0.006,0.557,422,26.73,190.9,11
Whitstable,2.29,8.23,0.24,<3.00,109,0.082,0.088,0.012,0.012,<0.006,<0.006,0.006,0.182,82,2.85,20.4,18.5
Dowsing,0.95,7.14,<0.06,3.00,64,0.053,0.059,<0.006,<0.006,<0.006,0.006,<0.006,<0.006,53,1.00,7.1,nd
Dudgeon,1.26,7.14,<0.06,3.08,69,0.059,0.053,<0.006,<0.006,<0.006,<0.006,0.006,0.006,40,0.68,4.9,nd
Newarp,1.05,7.25,<0.06,3.00,63,0.047,0.053,<0.006,<0.006,<0.006,0.006,<0.006,0.006,43,0.99,7.1,nd
Smiths Knoll,0.92,6.12,0.08,<3.00,78,0.041,0.047,0.006,<0.006,<0.006,<0.006,0.006,<0.006,53,0.84,6.0,nd
Shipwash,1.25,7.25,<0.06,3.00,73,0.059,0.059,<0.006,<0.006,<0.006,<0.006,<0.006,<0.006,36,0.98,7.0,nd
Sunk,0.88,6.67,0.06,<3.00,76,0.117,0.117,<0.006,0.038,<0.006,<0.006,<0.006,0.041,59,1.18,8.4,nd
Falls,0.95,7.02,0.05,<3.00,92,0.117,0.059,<0.006,0.006,<0.006,<0.006,<0.006,0.006,59,1.61,11.5,nd
East Goodwin,0.72,6.67,0.11,3.61,72,0.117,0.059,<0.006,<0.006,<0.006,0.006,<0.006,0.059,56,1.28,9.1,nd
Sandettie,0.35,5.75,0.05,<3.00,50,0.047,0.117,0.006,<0.006,<0.006,0.006,<0.006,0.006,43,1.15,8.2,nd
South Goodwin,0.67,5.64,0.13,<3.00,62,0.117,0.117,<0.006,<0.006,<0.006,<0.006,0.006,0.129,54,1.02,7.3,nd
Exmouth (source),0.32,4.68,0.04,<3.00,40,0.117,0.117,<0.006,<0.006,<0.006,<0.006,0.006,<0.006,53,2.20,15.7,nd
